iter	Passed	Remaining
1160	29483	21306
1161	29508	21280
1162	29533	21254
1163	29559	21229
1164	29582	21203
1165	29607	21177
1166	29634	21152
1167	29664	21130
1168	29689	21104
1169	29713	21078
1170	29738	21052
1171	29765	21028
1172	29789	21002
1173	29814	20976
1174	29838	20950
1175	29864	20925
1176	29889	20899
1177	29915	20874
1178	29943	20851
1179	29969	20826
1180	29995	20801
1181	30019	20774
1182	30042	20747
1183	30068	20722
1184	30095	20698
1185	30119	20672
1186	30142	20645
1187	30165	20618
1188	30188	20591
1189	30213	20565
1190	30237	20539
1191	30261	20512
1192	30287	20487
1193	30313	20463
1194	30336	20435
1195	30361	20410
1196	30388	20385
1197	30414	20361
1198	30439	20335
1199	30464	20309
1200	30490	20284
1201	30515	20258
1202	30539	20232
1203	30563	20206
1204	30590	20182
1205	30614	20155
1206	30643	20133
1207	30668	20107
1208	30695	20082
1209	30718	20056
1210	30743	20029
1211	30766	20003
1212	30789	19976
1213	30816	19952
1214	30842	19927
1215	30868	19902
1216	30893	19876
1217	30920	19852
1218	30943	19825
1219	30967	19799
1220	30991	19772
1221	31016	19746
1222	31045	19724
1223	31068	19696
1224	31095	19672
1225	31120	19647
1226	31143	19620
1227	31168	19594
1228	31191	19567
1229	31215	19541
1230	31239	19515
1231	31262	19488
1232	31285	19461
1233	31310	19435
1234	31333	19409
1235	31356	19382
1236	31380	19355
1237	31406	19331
1238	31435	19308
1239	31458	19281
1240	31485	19256
1241	31515	19233
1242	31542	19209
1243	31565	19183
1244	31592	19158
1245	31620	19134
1246	31644	19108
1247	31671	19083
1248	31694	19057
1249	31717	19030
1250	31740	19003
1251	31764	18977
1252	31787	18950
1253	31815	18926
1254	31838	18900
1255	31861	18873
1256	31888	18848
1257	31912	18822
1258	31934	18795
1259	31957	18768
1260	31980	18742
1261	32002	18714
1262	32030	18690
1263	32055	18665
1264	32079	18638
1265	32103	18612
1266	32134	18590
1267	32158	18564
1268	32182	18538
1269	32207	18512
1270	32230	18486
1271	32253	18459
1272	32276	18432
1273	32304	18408
1274	32330	18384
1275	32357	18359
1276	32383	18334
1277	32405	18307
1278	32428	18280
1279	32451	18253
1280	32473	18226
1281	32497	18200
1282	32520	18173
1283	32547	18149
1284	32571	18123
1285	32598	18099
1286	32625	18074
1287	32648	18047
1288	32671	18021
1289	32695	17995
1290	32722	17970
1291	32749	17946
1292	32774	17921
1293	32798	17894
1294	32825	17870
1295	32847	17843
1296	32869	17816
1297	32893	17789
1298	32918	17764
1299	32942	17738
1300	32965	17711
1301	32988	17684
